index,Ultrasonic Sensor Data Capture Start,index,Ultrasonic Sensor Data Capture Start
548,4205,100549.0,2741.0
549,4251,100550.0,2747.0
550,4205,100551.0,2796.0
551,4205,100552.0,2765.0
552,4257,100553.0,2740.0
553,4159,100554.0,2740.0
554,4159,100555.0,2741.0
555,4257,100556.0,2716.0
556,4257,100557.0,2740.0
557,4257,100558.0,2740.0
558,4251,100559.0,2746.0
559,4251,100560.0,2771.0
560,4158,100561.0,2740.0
561,4256,100562.0,2741.0
562,4159,100563.0,2740.0
563,4257,100564.0,2741.0
564,4159,100565.0,2741.0
565,4205,100566.0,2740.0
566,4230,100567.0,2740.0
567,4199,100568.0,2747.0
568,4152,100569.0,2746.0
569,4159,100570.0,2746.0
570,4156,100571.0,2740.0
571,4205,100572.0,2740.0
572,4205,100573.0,2740.0
573,4256,100574.0,2740.0
574,4205,100575.0,2741.0
575,4257,100576.0,2741.0
576,4251,100577.0,2746.0
577,4251,100578.0,2747.0
578,4158,100579.0,2747.0
579,4232,100580.0,2740.0
580,4158,100581.0,2740.0
581,4158,100582.0,2740.0
582,4158,100583.0,2740.0
583,4183,100584.0,2716.0
584,4257,100585.0,2740.0
585,4251,100586.0,2747.0
586,4251,100587.0,2746.0
587,4205,100588.0,2746.0
588,4205,100589.0,2740.0
589,4205,100590.0,2741.0
590,4257,100591.0,2741.0
591,4205,100592.0,2716.0
592,4257,100593.0,2740.0
593,4257,100594.0,2740.0
594,4251,100595.0,2747.0
595,4251,100596.0,2746.0
596,4257,100597.0,2746.0
597,4205,100598.0,2766.0
598,4257,100599.0,2741.0
599,4204,100600.0,2741.0
600,4205,100601.0,2741.0
601,4257,100602.0,2741.0
602,4257,100603.0,2740.0
603,4251,100604.0,2747.0
604,4199,100605.0,2746.0
605,4205,100606.0,2747.0
606,4229,100607.0,2740.0
607,4205,100608.0,2740.0
608,4205,100609.0,2741.0
609,4257,100610.0,2741.0
610,4159,100611.0,2740.0
611,4180,100612.0,2741.0
612,4205,100613.0,2741.0
613,4199,100614.0,2747.0
614,4257,100615.0,2795.0
615,4257,100616.0,2741.0
616,4205,100617.0,2766.0
617,4159,100618.0,2741.0
618,4257,100619.0,2741.0
619,4205,100620.0,2741.0
620,4257,100621.0,2741.0
621,4257,100622.0,2741.0
622,4223,100623.0,2747.0
623,4251,100624.0,2820.0
624,4257,100625.0,2790.0
625,4180,100626.0,2766.0
626,4257,100627.0,2765.0
627,4229,100628.0,2740.0
628,4257,100629.0,2765.0
629,4256,100630.0,2790.0
630,4158,100631.0,2740.0
631,4251,100632.0,2747.0
632,4199,100633.0,2771.0
633,4205,100634.0,2765.0
634,4155,100635.0,2766.0
635,4257,100636.0,2740.0
636,4205,100637.0,2766.0
637,4230,100638.0,2740.0
638,4205,100639.0,2790.0
639,4257,100640.0,2766.0
640,4251,100641.0,2796.0
641,4251,100642.0,2747.0
642,4159,100643.0,2767.0
643,4155,100644.0,2741.0
644,4159,100645.0,2716.0
645,4257,100646.0,2766.0
646,4257,100647.0,2765.0
647,4256,100648.0,2740.0
648,4257,100649.0,2740.0
649,4251,100650.0,2722.0
650,4251,100651.0,2796.0
651,4205,100652.0,2771.0
652,4229,100653.0,2765.0
653,4257,100654.0,2766.0
654,4257,100655.0,2741.0
655,4205,100656.0,2741.0
656,4257,100657.0,2740.0
657,4205,100658.0,2790.0
658,4181,100659.0,2747.0
659,4224,100660.0,2747.0
660,4205,100661.0,2722.0
661,4205,100662.0,2741.0
662,4205,100663.0,2765.0
663,4181,100664.0,2765.0
664,4205,100665.0,2740.0
665,4205,100666.0,2740.0
666,4205,100667.0,2741.0
667,4159,100668.0,2747.0
