index,[2023-01-12 17:02:45.931] Ultrasonic Sensor Data Capture Start,index,[2023-01-12 17:02:45.931] Ultrasonic Sensor Data Capture Start,,,,,,,,,,,,
388,9092,100393,9178,,,,,,,,,,,,
389,9117,100394,9129,,,,,,,,,,,,
390,9218,100395,9128,,,,,,,,,,,,
391,9093,100396,9178,,,,,,,,,,,,
392,9092,100397,9178,,,,,,,,,,,,
393,9118,100398,9153,,,,,,,,,,,,
394,9093,100399,9153,,,,,,,,,,,,
395,9193,100400,9153,,,,,,,,,,,,
396,9193,100401,9128,,,,,,,,,,,,
397,9143,100402,9178,,,,,,,,,,,,
398,9118,100403,9203,,,,,,,,,,,,
399,9092,100404,9153,,,,,,,,,,,,
400,9118,100405,9128,,,,,,,,,,,,
401,9143,100406,9153,,,,,,,,,,,,
402,9094,100407,9153,,,,,,,,,,,,
403,9143,100408,9153,,,,,,,,,,,,
404,9143,100409,9153,,,,,,,,,,,,
405,9117,100410,9178,,,,,,,,,,,,
406,9118,100411,9178,,,,,,,,,,,,
407,9099,100412,9153,,,,,,,,,,,,
408,9117,100413,9129,,,,,,,,,,,,
409,9092,100414,9178,,,,,,,,,,,,
410,9093,100415,9177,,,,,,,,,,,,
411,9118,100416,9128,,,,,,,,,,,,
412,9117,100417,9154,,,,,,,,,,,,
413,9192,100418,9128,,,,,,,,,,,,
414,9118,100419,9128,,,,,,,,,,,,
415,9117,100420,9179,,,,,,,,,,,,
416,9193,100421,9129,,,,,,,,,,,,
417,9093,100422,9153,,,,,,,,,,,,
418,9092,100423,9129,,,,,,,,,,,,
419,9194,100424,9198,,,,,,,,,,,,
420,9092,100425,9178,,,,,,,,,,,,
421,9143,100426,9177,,,,,,,,,,,,
422,9093,100427,9203,,,,,,,,,,,,
423,9117,100428,9203,,,,,,,,,,,,
424,9118,100429,9178,,,,,,,,,,,,
425,9118,100430,9178,,,,,,,,,,,,
426,9093,100431,9126,,,,,,,,,,,,
427,9123,100432,9203,,,,,,,,,,,,
428,9092,100433,9177,,,,,,,,,,,,
429,9093,100434,9152,,,,,,,,,,,,
430,9092,100435,9127,,,,,,,,,,,,
431,9092,100436,9128,,,,,,,,,,,,
432,9118,100437,9128,,,,,,,,,,,,
433,9117,100438,9127,,,,,,,,,,,,
434,9092,100439,9128,,,,,,,,,,,,
435,9117,100440,9128,,,,,,,,,,,,
436,9117,100441,9178,,,,,,,,,,,,
437,9092,100442,9179,,,,,,,,,,,,
438,9116,100443,9178,,,,,,,,,,,,
439,9093,100444,9177,,,,,,,,,,,,
440,9096,100445,9152,,,,,,,,,,,,
441,9092,100446,9153,,,,,,,,,,,,
442,9168,100447,9153,,,,,,,,,,,,
443,9092,100448,9127,,,,,,,,,,,,
444,9117,100449,9153,,,,,,,,,,,,
445,9092,100450,9154,,,,,,,,,,,,
446,9118,100451,9127,,,,,,,,,,,,
447,9118,100452,9178,,,,,,,,,,,,
448,9093,100453,9152,,,,,,,,,,,,
449,9118,100454,9127,,,,,,,,,,,,
450,9118,100455,9128,,,,,,,,,,,,
451,9118,100456,9154,,,,,,,,,,,,
452,9092,100457,9179,,,,,,,,,,,,
453,9118,100458,9152,,,,,,,,,,,,
454,9168,100459,9152,,,,,,,,,,,,
455,9092,100460,9128,,,,,,,,,,,,
456,9118,100461,9153,,,,,,,,,,,,
457,9093,100462,6659,,,,,,,,,,,,
458,9117,100463,9151,,,,,,,,,,,,
459,9168,100464,9127,,,,,,,,,,,,
460,9142,100465,9229,,,,,,,,,,,,
461,9142,100466,9203,,,,,,,,,,,,
462,9118,100467,9128,,,,,,,,,,,,
463,9143,100468,9197,,,,,,,,,,,,
464,9117,100469,9128,,,,,,,,,,,,
465,9142,100470,9128,,,,,,,,,,,,
466,9142,100471,9127,,,,,,,,,,,,
467,9117,100472,9152,,,,,,,,,,,,
468,9117,100473,9153,,,,,,,,,,,,
469,9141,100474,9127,,,,,,,,,,,,
470,9193,100475,9128,,,,,,,,,,,,
471,9092,100476,9153,,,,,,,,,,,,
472,9092,100477,9152,,,,,,,,,,,,
473,9092,100478,9128,,,,,,,,,,,,
474,9093,100479,9178,,,,,,,,,,,,
475,9117,100480,9153,,,,,,,,,,,,
476,9117,100481,9153,,,,,,,,,,,,
477,9117,100482,9175,,,,,,,,,,,,
478,9092,100483,9179,,,,,,,,,,,,
479,9092,100484,9203,,,,,,,,,,,,
480,9092,100485,9126,,,,,,,,,,,,
481,9116,100486,9128,,,,,,,,,,,,
482,9091,100487,9204,,,,,,,,,,,,
483,9192,100488,9127,,,,,,,,,,,,
484,9116,100489,9153,,,,,,,,,,,,
485,9118,100490,9179,,,,,,,,,,,,
486,9091,100491,9179,,,,,,,,,,,,
487,9117,100492,9152,,,,,,,,,,,,
488,9092,100493,9127,,,,,,,,,,,,
489,9092,100494,9128,,,,,,,,,,,,
490,9092,100495,9153,,,,,,,,,,,,
491,9167,100496,9153,,,,,,,,,,,,
492,9118,100497,9178,,,,,,,,,,,,
493,9142,100498,9153,,,,,,,,,,,,
494,9142,100499,9203,,,,,,,,,,,,
495,9091,100500,9128,,,,,,,,,,,,
496,9092,100501,9153,,,,,,,,,,,,
497,9091,100502,9153,,,,,,,,,,,,
498,9142,100503,9127,,,,,,,,,,,,
499,9116,100504,9127,,,,,,,,,,,,
500,9117,100505,9128,,,,,,,,,,,,
501,9116,100506,9153,,,,,,,,,,,,
502,9192,100507,9178,,,,,,,,,,,,
503,9093,100508,9203,,,,,,,,,,,,
504,9093,100509,9126,,,,,,,,,,,,
505,9141,100510,9153,,,,,,,,,,,,
506,9092,100511,9178,,,,,,,,,,,,
507,9167,100512,9153,,,,,,,,,,,,
508,9092,100513,9153,,,,,,,,,,,,
509,9067,100514,9127,,,,,,,,,,,,
510,9142,100515,9127,,,,,,,,,,,,
511,9089,100516,9127,,,,,,,,,,,,
512,9193,100517,9127,,,,,,,,,,,,
513,9098,100518,9153,,,,,,,,,,,,
514,9092,100519,9179,,,,,,,,,,,,
515,9167,100520,9178,,,,,,,,,,,,
516,9090,100521,9178,,,,,,,,,,,,
517,9142,100522,9154,,,,,,,,,,,,
518,9098,100523,9153,,,,,,,,,,,,
519,9091,100524,9152,,,,,,,,,,,,
520,9117,100525,9126,,,,,,,,,,,,
521,9117,100526,9152,,,,,,,,,,,,
522,9141,100527,9129,,,,,,,,,,,,
523,9142,100528,9127,,,,,,,,,,,,
524,9141,100529,9153,,,,,,,,,,,,
525,9117,100530,9153,,,,,,,,,,,,
526,9141,100531,9153,,,,,,,,,,,,
527,9141,100532,9153,,,,,,,,,,,,
528,9091,100533,9153,,,,,,,,,,,,
529,9192,100534,9153,,,,,,,,,,,,
