Channel1,Channel2,LabelObject,Grid
5946,5990,No,0
6028,5991,No,0
6021,5990,No,0
5945,5990,No,0
5928,5990,No,0
5946,5990,No,0
5921,5990,No,0
5921,5991,No,0
5951,5991,No,0
5970,5966,No,0
5970,5990,No,0
5922,5991,No,0
5946,5991,No,0
5921,5991,No,0
5920,5991,No,0
5951,5991,No,0
6022,6015,No,0
5946,6092,No,0
6021,6091,No,0
5945,6092,No,0
5921,6014,No,0
5945,5990,No,0
5946,5990,No,0
5969,5990,No,0
6022,5991,No,0
6022,5991,No,0
5970,6015,No,0
6022,6015,No,0
6022,5991,No,0
6022,5991,No,0
5945,5991,No,0
5952,6015,No,0
5946,6014,No,0
5921,6091,No,0
5971,5991,No,0
5946,5990,No,0
5921,5967,No,0
5921,5966,No,0
5927,6040,No,0
5945,5990,No,0
5946,5989,No,0
5996,5990,No,0
5996,5990,No,0
5921,6015,No,0
5971,6014,No,0
5929,6067,No,0
5946,6091,No,0
5996,5990,No,0
5996,5966,No,0
5947,5991,No,0
6021,5991,No,0
5921,6091,No,0
5996,6016,No,0
5946,6015,No,0
5922,5990,No,0
5952,5990,No,0
5946,5991,No,0
5922,5991,No,0
5922,6041,No,0
5947,6016,No,0
5947,5966,No,0
5947,6018,No,0
5953,6016,No,0
5945,5966,No,0
5971,5996,No,0
5922,5991,No,0
5945,5967,No,0
6022,5966,No,0
6021,5990,No,0
6021,6015,No,0
6022,5966,No,0
6022,5990,No,0
6022,5989,No,0
5946,5989,No,0
5921,5990,No,0
5927,6015,No,0
5945,6014,No,0
5921,5991,No,0
5921,5990,No,0
5946,5991,No,0
5971,5966,No,0
5921,5966,No,0
5928,5991,No,0
5946,5990,No,0
5921,5965,No,0
5945,5990,No,0
5953,5990,No,0
5996,5966,No,0
6021,5990,No,0
5952,6014,No,0
5946,6067,No,0
5946,5990,No,0
5921,6014,No,0
5969,5990,No,0
5922,6018,No,0
5922,6014,No,0
6028,5990,No,0
5945,6021,No,0
5920,5991,No,0
5946,5990,No,0
5945,6022,No,0
5946,5967,No,0
5922,5966,No,0
5928,5996,No,0
5946,5989,No,0
5996,6066,No,0
5922,5991,No,0
5946,6014,No,0
5921,5990,No,0
5921,6014,No,0
5945,5990,No,0
6022,5991,No,0
5945,5990,No,0
5945,5990,No,0
5921,6015,No,0
5945,5991,No,0
5946,6092,No,0
5952,6091,No,0
6022,6091,No,0
5945,5991,No,0
5945,5990,No,0
5945,5990,No,0
5946,6014,No,0
5945,5991,No,0
5976,5991,No,0
5946,5990,No,0
5946,6015,No,0
5945,6091,No,0
5921,5990,No,0
5946,5991,No,0
5945,5990,No,0
5929,5990,No,0
5996,5966,No,0
5997,5990,No,0
5945,6014,No,0
5970,5990,No,0
5946,5990,No,0
5945,6014,No,0
5946,5990,No,0
5946,5991,No,0
5946,5990,No,0
5945,5990,No,0
5946,5990,No,0
5922,5990,No,0
5946,5990,No,0
5928,6091,No,0
5922,5991,No,0
5922,5990,No,0
5921,5990,No,0
5945,6091,No,0
5946,5990,No,0
5946,5991,No,0
6022,6021,No,0
5945,5990,No,0
5969,5990,No,0
5945,6091,No,0
5946,6015,No,0
5946,5991,No,0
5946,5990,No,0
5975,5966,No,0
5970,5990,No,0
5946,5990,No,0
5946,5991,No,0
5945,5990,No,0
5921,6015,No,0
5946,5990,No,0
5952,6015,No,0
5945,5991,No,0
6022,5991,No,0
5948,5991,No,0
5922,6040,No,0
5946,5967,No,0
5945,6040,No,0
5952,6015,No,0
5946,5990,No,0
5921,5990,No,0
5945,5966,No,0
5921,5966,No,0
5921,6016,No,0
5921,5990,No,0
5949,6014,No,0
5945,5989,No,0
5946,5991,No,0
5946,5991,No,0
5949,5991,No,0
6022,5966,No,0
6021,5966,No,0
5969,5966,No,0
6021,5991,No,0
6021,5966,No,0
6022,5990,No,0
5970,5990,No,0
5970,6015,No,0
6022,5991,No,0
6022,6092,No,0
5946,6014,No,0
5974,6066,No,0
5945,5989,No,0
5946,5990,No,0
5969,6091,No,0
5946,6091,No,0
5921,5990,No,0
5945,6067,No,0
5970,5991,No,0
5969,5990,No,0
5970,6066,No,0
6028,6041,No,0
5970,6066,No,0
5946,6066,No,0
5921,6066,No,0
6021,6066,No,0
